1,Bitcoin,BTC,$742.30B
2,Ethereum,ETH,$310.47B
3,Tether,USDT,$80.07B
4,BNB,BNB,$62.06B
5,USD Coin,USDC,$52.39B
6,XRP,XRP,$38.09B
7,Terra,LUNA,$33.62B
8,Cardano,ADA,$26.86B
9,Solana,SOL,$26.11B
10,Avalanche,AVAX,$19.34B
11,Polkadot,DOT,$18.11B
12,Binance USD,BUSD,$18.02B
13,Dogecoin,DOGE,$15.50B
14,TerraUSD,UST,$14.52B
15,SHIBA INU,SHIB,$12.29B
16,Polygon,MATIC,$10.93B
17,Wrapped Bitcoin,WBTC,$10.65B
18,Cronos,CRO,$9.89B
19,Dai,DAI,$9.84B
20,Cosmos,ATOM,$7.90B
21,Litecoin,LTC,$7.45B
22,NEAR Protocol,NEAR,$6.73B
23,Chainlink,LINK,$6.19B
24,TRON,TRX,$6.10B
25,Uniswap,UNI,$6.04B
26,FTX Token,FTT,$5.67B
27,UNUS SED LEO,LEO,$5.56B
28,Bitcoin Cash,BCH,$5.54B
29,Algorand,ALGO,$4.71B
30,Stellar,XLM,$4.55B
31,Decentraland,MANA,$4.30B
32,Bitcoin BEP2,BTCB,$4.12B
33,Hedera,HBAR,$4.10B
34,Ethereum Classic,ETC,$3.55B
35,Internet Computer,ICP,$3.48B
36,Filecoin,FIL,$3.20B
37,Monero,XMR,$3.16B
38,The Sandbox,SAND,$3.16B
39,Fantom,FTM,$3.12B
40,Elrond,EGLD,$3.10B
41,VeChain,VET,$3.01B
42,Klaytn,KLAY,$2.90B
43,Axie Infinity,AXS,$2.86B
44,Theta Network,THETA,$2.84B
45,Waves,WAVES,$2.78B
46,Tezos,XTZ,$2.69B
47,Helium,HNT,$2.40B
48,Zcash,ZEC,$2.11B
49,Flow,FLOW,$1.99B
50,IOTA,MIOTA,$1.98B
51,THORChain,RUNE,$1.98B
52,EOS,EOS,$1.95B
53,Stacks,STX,$1.76B
54,Maker,MKR,$1.74B
55,Aave,AAVE,$1.65B
56,PancakeSwap,CAKE,$1.65B
57,BitTorrent (New),BTT,$1.64B
58,The Graph,GRT,$1.53B
59,Gala,GALA,$1.52B
60,Bitcoin SV,BSV,$1.49B
61,Harmony,ONE,$1.49B
62,TrueUSD,TUSD,$1.48B
63,KuCoin Token,KCS,$1.45B
64,Neo,NEO,$1.43B
65,eCash,XEC,$1.41B
66,Quant,QNT,$1.40B
67,Huobi Token,HT,$1.39B
68,Kadena,KDA,$1.17B
69,Nexo,NEXO,$1.17B
70,Chiliz,CHZ,$1.16B
71,Enjin Coin,ENJ,$1.16B
72,Celo,CELO,$1.10B
73,OKB,OKB,$1.07B
74,Amp,AMP,$1.06B
75,Kusama,KSM,$1.05B
76,Arweave,AR,$1.05B
77,Dash,DASH,$1.02B
78,Basic Attention Token,BAT,$1.02B
79,Pax Dollar,USDP,$948.19M
80,Loopring,LRC,$939.55M
81,Curve DAO Token,CRV,$923.05M
82,Anchor Protocol,ANC,$875.28M
83,Theta Fuel,TFUEL,$870.64M
84,NEM,XEM,$852.61M
85,Secret,SCRT,$797.47M
86,Oasis Network,ROSE,$774.75M
87,Celsius,CEL,$748.74M
88,Decred,DCR,$739.85M
89,BORA,BORA,$713.73M
90,Mina,MINA,$710.62M
91,Holo,HOT,$687.51M
92,Compound,COMP,$682.99M
93,yearn.finance,YFI,$681.77M
94,IoTeX,IOTX,$645.24M
95,XDC Network,XDC,$638.70M
96,PAX Gold,PAXG,$617.15M
97,SXP,SXP,$599.58M
98,Ankr,ANKR,$588.08M
99,Neutrino USD,USDN,$585.06M
100,Qtum,QTUM,$582.00M
